N,D,Voters,Authorities,Bucket,Keygen,Gen,Verify,Recommit,Levels,Nodes,Tally,Plain,Result,Correct
1024,7,100,4,30,0.184,12546.664,12854.011,647.278,2,5,0.003,54,54,1
1024,7,100,4,30,0.395,13354.495,13154.066,614.732,2,5,0.004,43,43,1
2048,7,100,4,30,0.614,58772.817,56974.033,2711.274,2,5,0.004,45,45,1
2048,7,100,4,15,0.52,53485.548,52717.067,4220.77,2,8,0.004,50,50,1
2048,7,100,4,8,0.967,53038.751,52341.861,8601.225,3.000,16.000,0.004,50,50,1
128,7,100,4,30,0.011,67.022,66.858,4.552,2.000,5.000,0.001,47,47,1
128,7,100,4,30,0.011,66.027,71.856,3.879,2.000,5.000,0.001,46,46,1
128,7,100,4,30,0.032,138.198,110.025,4.227,2.000,5.000,0.000,53,53,1
128,7,100,4,30,0.013,141.291,70.688,83.357,82.794,3.544,2.000,5.000,0.001,46,46,1
1024,7,100,4,30,0.096,7962.766,3968.163,4919.998,4918.475,206.924,2.000,5.000,0.006,50,50,1
1024,7,1000,4,30,0.091,160636.679,80087.019,109533.799,109479.110,3386.233,3.000,37.000,0.087,496,496,1
1024,7,10000,4,30,0.240,1533929.331,767017.274,480163.892,479227.847,13671.369,3.000,347.000,0.249,5008,5008,1
