N,D,Voters,Authorities,Bucket,Keygen,Gen,ProofGen,Verify,ProofVerify,Recommit,Levels,Nodes,Tally,Plain,Result,Correct
128,7,100,4,30,0.011,147.342,73.258,90.754,90.450,4.086,2.000,5.000,0.000,52,52,1
128,7,100,4,30,0.016,147.842,73.755,95.267,94.949,4.270,2.000,5.000,0.001,52,52,1
128,7,100,4,30,0.016,154.207,76.696,93.273,92.964,4.161,2.000,5.000,0.001,54,54,1
512,7,100,4,30,0.049,2030.836,1014.106,1316.597,1315.967,58.802,2.000,5.000,0.003,55,55,1
512,7,100,4,30,0.067,2057.614,1026.120,1296.596,1295.949,53.624,2.000,5.000,0.002,47,47,1
512,7,100,4,30,0.053,2037.599,1018.518,1301.202,1300.531,53.124,2.000,5.000,0.003,54,54,1
1024,7,100,4,30,0.095,7896.375,3957.141,5020.232,5018.924,216.887,2.000,5.000,0.003,52,52,1
1024,7,100,4,30,0.133,7803.450,3897.251,5068.832,5067.594,193.990,2.000,5.000,0.003,42,42,1
1024,7,100,4,30,0.100,7574.765,3790.480,4998.760,4997.510,191.962,2.000,5.000,0.003,46,46,1
2048,7,100,4,30,0.193,30799.348,15360.203,19967.401,19965.086,749.500,2.000,5.000,0.003,45,45,1
2048,7,100,4,30,0.235,30705.901,15351.224,19831.242,19828.855,738.091,2.000,5.000,0.003,46,46,1
2048,7,100,4,30,0.197,30511.895,15278.294,19888.454,19886.021,776.426,2.000,5.000,0.003,53,53,1
1024,7,100,4,30,0.097,7677.138,3829.927,4959.724,4958.467,198.678,2.000,5.000,0.002,51,51,1
1024,7,100,4,30,0.102,7725.888,3862.867,4967.689,4966.476,193.692,2.000,5.000,0.003,54,54,1
1024,7,500,4,30,0.111,38498.465,19239.777,24261.663,24254.982,712.955,2.000,18.000,0.016,258,258,1
1024,7,500,4,30,0.112,37522.035,18739.056,24891.660,24884.871,672.795,2.000,18.000,0.012,259,259,1
1024,7,1000,4,30,0.098,76135.937,38032.509,49921.668,49909.165,1468.246,3.000,37.000,0.023,512,512,1
1024,7,1000,4,30,0.107,76613.971,38263.790,52270.093,52257.328,1496.414,3.000,37.000,0.024,493,493,1
1024,7,2000,4,30,0.096,157860.438,78849.843,102035.510,102011.480,2760.971,3.000,71.000,0.057,998,998,1
1024,7,2000,4,30,0.153,153588.745,76736.695,98021.815,97998.278,2726.710,3.000,71.000,0.042,987,987,1
1024,7,100,4,8,0.136,7448.510,3723.265,4876.258,4875.083,603.188,3.000,16.000,0.003,48,48,1
1024,7,100,4,8,0.116,7431.840,3706.939,4909.659,4908.417,593.328,3.000,16.000,0.006,53,53,1
1024,7,100,4,8,0.097,7558.005,3774.537,4900.871,4899.643,616.539,3.000,16.000,0.004,47,47,1
1024,7,100,4,15,0.097,7600.604,3795.427,4861.643,4860.442,315.696,2.000,8.000,0.003,52,52,1
1024,7,100,4,15,0.108,7593.890,3795.497,4923.419,4922.185,280.757,2.000,8.000,0.003,40,40,1
1024,7,100,4,15,0.108,7516.436,3751.197,4939.043,4937.823,305.989,2.000,8.000,0.003,50,50,1
1024,7,100,4,30,0.129,7677.640,3836.462,4947.560,4946.306,194.630,2.000,5.000,0.003,51,51,1
1024,7,100,4,30,0.099,7614.905,3805.631,4843.216,4842.003,188.711,2.000,5.000,0.003,47,47,1
1024,7,100,4,30,0.114,7607.418,3800.911,4914.770,4913.557,188.369,2.000,5.000,0.003,44,44,1
1024,7,100,4,50,0.104,7614.826,3794.771,4881.868,4880.674,116.240,2.000,3.000,0.003,49,49,1
1024,7,100,4,50,0.097,7515.281,3742.530,4860.753,4859.515,116.335,2.000,3.000,0.003,54,54,1
1024,7,100,4,50,0.097,7635.461,3816.623,4888.322,4887.035,107.871,2.000,3.000,0.028,49,49,1
1024,7,100,4,100,0.112,7590.197,3785.712,4867.849,4866.581,40.981,1.000,1.000,0.002,55,55,1
1024,7,100,4,100,0.112,7565.955,3782.983,4893.770,4892.556,39.462,1.000,1.000,0.002,47,47,1
1024,7,100,4,100,0.130,7727.677,3864.254,4874.959,4873.758,40.642,1.000,1.000,0.002,49,49,1
1024,7,100,2,30,0.097,3725.506,1854.167,2461.938,2461.323,90.592,2.000,5.000,0.002,46,46,1
1024,7,100,2,30,0.111,3831.610,1909.479,2470.356,2469.763,93.727,2.000,5.000,0.002,61,61,1
1024,7,100,2,30,0.094,3829.812,1920.431,2470.589,2469.987,102.460,2.000,5.000,0.002,51,51,1
1024,7,100,4,30,0.099,7518.381,3753.954,4841.974,4840.725,187.009,2.000,5.000,0.003,57,57,1
1024,7,100,4,30,0.127,7422.155,3706.735,4732.983,4731.777,175.892,2.000,5.000,0.003,55,55,1
1024,7,100,4,30,0.172,7565.889,3788.627,4741.536,4740.330,176.863,2.000,5.000,0.002,58,58,1
1024,7,100,8,30,0.113,15076.051,7524.490,9835.547,9833.003,375.236,2.000,5.000,0.003,52,52,1
1024,7,100,8,30,0.117,15149.736,7566.679,9823.738,9821.298,395.168,2.000,5.000,0.004,51,51,1
1024,7,100,8,30,0.108,15175.652,7575.457,9655.353,9652.917,365.970,2.000,5.000,0.003,52,52,1
